country_name_norm,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,co2_emission_kt_avg_2017_2019,co2_emission_kt_2019
liberia,38.0,0.6666666666666666,18.0,0.0,37.55555555555556,1196.6666380564368,1179.99994754791
libya,105.4,1.0,42.48,0.36,102.6,56193.33267211914,56799.9992370605
lithuania,38.13157894736842,0.8421052631578947,33.73684210526316,0.15789473684210525,33.39473684210526,11533.333142598467,11729.9995422363
luxembourg,44.5,1.0,38.0,1.0,43.0,9269.999821980795,9489.99977111816
madagascar,30.953846153846154,0.4153846153846154,21.26153846153846,0.015384615384615385,26.307692307692307,3646.6666062672934,4119.99988555908
malawi,47.333333333333336,0.8095238095238095,20.666666666666668,0.0,47.23809523809524,1340.0000333786031,1450.00004768372
malaysia,81.616,2.232,36.496,2.336,80.808,241766.66768391934,253270.004272461
maldives,19.0,0.0,19.0,0.0,15.0,2023.3332713445034,2109.99989509583
mali,83.16,1.04,20.64,0.4,83.16,5493.333180745441,5829.99992370605
malta,51.36363636363637,1.0,49.72727272727273,0.8181818181818182,39.81818181818182,1576.6666332880634,1659.9999666214
mauritania,179.0,0.75,28.5,0.0,179.0,3710.000038146973,3950.00004768372
mauritius,41.0,0.2777777777777778,28.22222222222222,0.0,40.611111111111114,4156.666755676273,4170.00007629395
mexico,89.5374149659864,1.75,16.82482993197279,4.9268707482993195,89.29251700680273,457806.6609700523,449269.989013672
mongolia,53.4,0.9,33.3,0.0,48.4,21399.999618530266,23069.9996948242
montenegro,64.75,1.0,33.25,0.25,64.75,2456.6666285196934,2599.99990463257
morocco,45.36842105263158,1.1578947368421053,29.57894736842105,3.9473684210526314,43.73684210526316,66653.33429972333,71480.0033569336
mozambique,36.82608695652174,0.5652173913043478,22.347826086956523,0.043478260869565216,36.21739130434783,7219.99994913737,7500.0
myanmar,40.16949152542373,0.4406779661016949,22.050847457627118,0.2033898305084746,39.0,34053.3332824707,36720.0012207031
namibia,76.88235294117646,0.4117647058823529,20.470588235294116,0.0,75.70588235294117,4239.999930063884,4219.99979019165
nepal,116.36363636363636,2.4545454545454546,67.57575757575758,0.7878787878787878,116.27272727272727,13706.666310628234,13449.9998092651
netherlands,38.13758389261745,0.6644295302013423,31.835570469798657,2.5067114093959733,35.10738255033557,151153.33048502632,146339.996337891
new zealand,30.727272727272727,0.0,20.90909090909091,0.8636363636363636,27.136363636363637,33099.999745686866,34009.9983215332
nicaragua,47.972972972972975,1.0,16.37837837837838,1.5675675675675675,47.945945945945944,5276.666641235351,5239.99977111816
niger,75.6896551724138,1.5172413793103448,30.96551724137931,0.7586206896551724,75.6896551724138,2003.33336989085,2150.00009536743
nigeria,99.61111111111111,3.8125,24.854166666666668,2.2708333333333335,99.61111111111111,111223.33272298168,115279.998779297
norway,35.476190476190474,0.6666666666666666,34.61904761904762,0.2857142857142857,18.571428571428573,37086.6673787435,35950.0007629395
oman,137.5,1.3333333333333333,97.83333333333333,1.8333333333333333,134.83333333333334,74519.99918619794,76029.9987792969
pakistan,178.78827361563518,2.0749185667752443,89.14332247557003,2.0749185667752443,173.11074918566774,192236.66890462267,190570.007324219
palau,16.0,0.0,16.0,0.0,7.0,253.33333015441903,250.0
panama,68.44444444444444,1.7777777777777777,18.037037037037038,5.592592592592593,68.44444444444444,11176.6668955485,13340.0001525879
papua new guinea,24.866666666666667,0.0,15.733333333333333,0.06666666666666667,20.533333333333335,7583.333333333329,7579.99992370605
paraguay,42.76923076923077,1.2307692307692308,12.346153846153847,0.9230769230769231,42.76923076923077,8246.66690826416,8210.00003814697
peru,36.4296875,0.7109375,12.0,1.1796875,36.0859375,55203.333536783866,56750.0
philippines,61.195845697329375,0.9673590504451038,22.320474777448073,1.198813056379822,61.053412462908014,139163.335164388,145419.998168945
poland,52.46015424164524,0.9408740359897172,33.99228791773779,1.4627249357326477,49.254498714652954,306633.33129882836,295130.004882813
portugal,34.6078431372549,0.6209150326797386,31.84313725490196,2.2091503267973858,25.437908496732025,49156.667073567696,44639.9993896484
qatar,157.5,1.0,139.0,1.5,147.5,88643.33343505855,91970.0012207031
romania,53.93364928909953,1.0,40.25118483412322,0.5260663507109005,51.274881516587676,74449.99949137373,73949.9969482422
russia,42.50684931506849,1.0419016921837227,34.13295729250604,1.1112006446414182,34.51329572925061,1653046.6715494797,1703589.96582031
rwanda,93.53846153846153,3.6153846153846154,22.076923076923077,1.4615384615384615,93.53846153846153,1270.0000206629431,1330.00004291534
saint lucia,79.0,0.0,26.0,0.0,79.0,533.3333214124046,540.000021457672
saudi arabia,149.28571428571428,1.2857142857142858,77.07142857142857,0.6428571428571429,149.28571428571428,530036.6821289064,523780.029296875
senegal,152.42424242424244,1.393939393939394,22.0,1.878787878787879,152.42424242424244,10200.000127156587,10619.9998855591
serbia,67.98876404494382,1.0224719101123596,40.561797752808985,0.8539325842696629,67.64044943820225,46473.33399454752,45950.0007629395
seychelles,26.0,0.0,25.0,0.0,26.0,589.999993642171,610.000014305115
sierra leone,44.2,1.1333333333333333,16.0,0.06666666666666667,44.06666666666667,899.999996026357,899.999976158142
singapore,91.0,1.0,29.0,4.0,91.0,47973.333994547495,47380.0010681152
slovakia,67.53225806451613,1.0,40.016129032258064,0.7903225806451613,67.33870967741936,32553.3339182536,31079.9999237061
slovenia,70.875,1.125,40.5625,1.3125,69.875,13929.999987284333,13600.0003814697
solomon islands,18.0,0.0,18.0,0.0,6.0,356.66667421658866,360.000014305115
somalia,72.05555555555556,0.16666666666666666,21.5,0.0,72.05555555555556,670.0000166893007,689.999997615814
south africa,113.04022988505747,5.379310344827586,16.666666666666668,6.666666666666667,113.04022988505747,436546.6715494793,439640.014648438
south sudan,60.333333333333336,1.25,10.416666666666666,0.0,60.333333333333336,1589.99999364217,1700.00004768372
spain,38.45647058823529,0.8094117647058824,31.40705882352941,1.828235294117647,30.218823529411765,253490.00549316398,239979.995727539
sri lanka,63.52173913043478,0.5434782608695652,23.543478260869566,1.0217391304347827,63.52173913043478,22943.333943684902,23780.0006866455
sudan,78.85714285714286,1.2857142857142858,25.642857142857142,0.17857142857142858,78.85714285714286,20813.333511352565,20620.0008392334
suriname,43.333333333333336,0.6666666666666666,19.0,0.0,43.333333333333336,2453.3333778381334,2650.00009536743
sweden,36.16494845360825,0.7010309278350515,34.69072164948454,0.24742268041237114,21.04123711340206,36433.333079020165,35000.0
switzerland,55.21551724137931,1.0086206896551724,30.810344827586206,1.603448275862069,55.025862068965516,37853.33379109699,37380.0010681152
syrian arab republic,86.93333333333334,1.0,53.0,0.7333333333333333,83.53333333333333,27479.99954223633,25709.9990844727
tajikistan,115.20689655172414,1.0,44.48275862068966,0.20689655172413793,115.20689655172414,8490.000089009603,9420.00007629395
thailand,53.58130081300813,0.6219512195121951,22.995934959349594,0.9146341463414634,53.44308943089431,260986.6638183597,267089.996337891
togo,65.15789473684211,1.3157894736842106,19.31578947368421,0.47368421052631576,65.15789473684211,2249.99992052714,2369.99988555908
trinidad and tobago,94.5,0.75,21.75,3.5,94.5,17740.000406901032,17190.0005340576
tunisia,70.9090909090909,1.1136363636363635,53.04545454545455,1.75,58.70454545454545,29919.999440511066,29909.9998474121
